v0, k0, x, y, yaw, km, kf, sf
0.1,-2.20709,2.92547,-4.53056,-0.927997,0.905753,-1.98893,17.8596
0.1,-2.20709,3.45692,-4.42351,-0.93329,0.970461,-2.50125,17.7213
0.1,-2.20709,3.92909,-4.56175,-0.982439,1.03587,-3.01219,17.4688
0.1,-2.20709,2.93641,-3.9294,-0.972387,0.92768,-2.19273,18.5092
0.1,-2.20709,3.40619,-3.98091,-0.962568,1.00186,-2.73996,18.1932
0.1,-2.20709,3.94911,-4.03355,-1.03082,1.07672,-3.54452,18.1759
0.1,-2.20709,2.01448,-3.55224,-0.928336,0.800158,-1.469,19.0907
0.1,-2.20709,2.47869,-3.49014,-0.893604,0.898326,-1.89965,18.8693
0.1,-2.20709,2.50203,-3.02888,-1.07323,0.932241,-2.2647,19.7015
0.1,-2.20709,2.47455,-2.48012,-0.940321,0.995705,-2.55007,19.7098
0.1,-2.20709,2.93418,-2.06585,-0.954547,1.12098,-3.7523,19.6122
0.1,-2.20709,2.93348,-1.50198,-0.92378,1.27761,-5.17538,19.8494
0.1,-2.20709,5.04909,-0.484861,-0.9,1.6586,-13.8861,18.1158
0.1,-2.20709,5.01412,0.431768,-1,1.65218,-23.4038,18.2363
0.1,-2.20709,3.52672,-5.06428,-0.37076,0.991589,-1.91269,15.2068
0.1,-2.20709,4.05458,-5.04084,-0.413124,1.08772,-2.50428,15.072
0.1,-2.20709,1.95121,-4.57087,-0.403907,0.798877,-1.0564,16.4862
0.1,-2.20709,2.91778,-4.47557,-0.393921,0.929787,-1.66729,16.3018
0.1,-2.20709,3.47907,-4.46414,-0.35,1.02572,-2.10189,15.9164
0.1,-2.20709,1.92159,-4.00182,-0.469686,0.80133,-1.13688,17.3155
0.1,-2.20709,2.47924,-3.92856,-0.393473,0.897768,-1.50277,17.0799
0.1,-2.20709,2.98188,-3.93464,-0.434459,0.967381,-1.97237,17.0743
0.1,-2.20709,3.54706,-3.93804,-0.5,1.05123,-2.38086,16.6722
0.1,-2.20709,3.98763,-3.93623,-0.4,1.12532,-2.71692,16.0998
